Date,Time,Room Temperature (degree Celsius),Relative Humidity (%)
21.01.18,17:06:00,18.1,45.9
21.01.18,17:18:00,18.4,45.5
21.01.18,17:30:00,18.3,46
21.01.18,17:42:00,18.1,46.3
21.01.18,17:54:00,18.1,46
21.01.18,18:06:00,18.5,45.4
21.01.18,18:18:00,18.1,46
21.01.18,18:30:00,18.1,45.5
21.01.18,18:42:00,18.5,45
21.01.18,18:54:00,18.3,45.7
21.01.18,19:06:00,17.9,45.9
21.01.18,19:18:00,17.2,47.9
21.01.18,19:30:00,16.8,49.2
21.01.18,19:42:00,16.4,50.2
21.01.18,19:54:00,16.1,51.1
21.01.18,20:06:00,15.8,51.8
21.01.18,20:18:00,15.5,52.5
21.01.18,20:30:00,15.3,53
21.01.18,20:42:00,15.1,53.4
21.01.18,20:54:00,14.9,53.7
21.01.18,21:06:00,14.6,53.8
21.01.18,21:18:00,14.4,54
21.01.18,21:30:00,14.2,54.1
21.01.18,21:42:00,14,54
21.01.18,21:54:00,14.1,53.7
21.01.18,22:06:00,14.3,52.3
21.01.18,22:18:00,14,53
21.01.18,22:30:00,14.2,52.5
21.01.18,22:42:00,14,52.9
21.01.18,22:54:00,14.5,51.6
21.01.18,23:06:00,14,52.5
21.01.18,23:18:00,14.3,52.1
21.01.18,23:30:00,14.1,52.2
21.01.18,23:42:00,14.3,52
21.01.18,23:54:00,14.2,51.7
22.01.18,00:06:00,14.3,51.9
22.01.18,00:18:00,14.3,51.1
22.01.18,00:30:00,14.1,52.1
22.01.18,00:42:00,14.3,51.1
22.01.18,00:54:00,14.1,51.6
22.01.18,01:06:00,14.3,50.5
22.01.18,01:18:00,14.1,51
22.01.18,01:30:00,14.2,50.2
22.01.18,01:42:00,14.3,50.2
22.01.18,01:54:00,14.2,49.6
22.01.18,02:06:00,14.3,49.9
22.01.18,02:18:00,14.2,49.3
22.01.18,02:30:00,14.2,50
22.01.18,02:42:00,14.2,49.3
22.01.18,02:54:00,14.3,49.9
22.01.18,03:06:00,14.2,49.3
22.01.18,03:18:00,14.2,50
22.01.18,03:30:00,14.2,49.6
22.01.18,03:42:00,14.3,50
22.01.18,03:54:00,14,50.2
22.01.18,04:06:00,14.4,50.1
22.01.18,04:18:00,14,50.6
22.01.18,04:30:00,14.4,50.3
22.01.18,04:42:00,14,51
22.01.18,04:54:00,14.4,50.6
22.01.18,05:06:00,14,51.7
22.01.18,05:18:00,14.4,51.2
22.01.18,05:30:00,14,52.5
22.01.18,05:42:00,14.4,51.9
22.01.18,05:54:00,14,53.3
22.01.18,06:06:00,14.4,53
22.01.18,06:18:00,14,54.5
22.01.18,06:30:00,14.4,54.2
22.01.18,06:42:00,14,55.4
22.01.18,06:54:00,14.3,55.7
22.01.18,07:06:00,14.1,56.3
22.01.18,07:18:00,14.1,57.2
22.01.18,07:30:00,14.2,57.6
22.01.18,07:42:00,14,59.1
22.01.18,07:54:00,14.2,59.5
22.01.18,08:06:00,14.1,61.2
22.01.18,08:18:00,14.3,60.7
22.01.18,08:30:00,14.1,63
22.01.18,08:42:00,14.3,62.4
22.01.18,08:54:00,13.9,64.4
22.01.18,09:06:00,14.5,63.3
22.01.18,09:18:00,15.1,62.1
22.01.18,09:30:00,15.5,60.8
22.01.18,09:42:00,16,59.3
22.01.18,09:54:00,16.6,57.7
22.01.18,10:06:00,17.2,56.3
22.01.18,10:18:00,17.7,54.9
22.01.18,10:30:00,18,54.1
22.01.18,10:42:00,18,54.3
22.01.18,10:54:00,18.1,54.4
22.01.18,11:06:00,18.1,54.4
22.01.18,11:18:00,18,54.6
22.01.18,11:30:00,18,54.9
22.01.18,11:42:00,18,55
22.01.18,11:54:00,18.2,55
22.01.18,12:06:00,19.1,54.3
22.01.18,12:18:00,19.9,54.3
22.01.18,12:30:00,20.4,55.9
22.01.18,12:42:00,20.9,56.7
22.01.18,12:54:00,21.4,57.4
22.01.18,13:06:00,21.8,58.4
22.01.18,13:18:00,22.1,59.4
22.01.18,13:30:00,22.4,59.1
22.01.18,13:42:00,22.6,58.6
22.01.18,13:54:00,22.9,58.3
22.01.18,14:06:00,23.1,57.8
22.01.18,14:18:00,23.4,57.4
22.01.18,14:30:00,23.6,57.5
22.01.18,14:42:00,23.8,57.4
22.01.18,14:54:00,23.9,55.6
22.01.18,15:06:00,23.9,52.3
22.01.18,15:18:00,23.9,51
22.01.18,15:30:00,23.9,50.7
22.01.18,15:42:00,23.9,50.5
22.01.18,15:54:00,23.9,50.3
22.01.18,16:06:00,23.9,49.9
