Gen,Frame,name,area pred,area gt,mean exg pred,mean exg gt,mean exr pred,mean exr gt,mean exgr pred,mean exgr gt
6,1,video0006_frame0001_R128x128.png,2025,2025,12.8894043,12.8894043,13.33898926,13.33898926,-0.449584961,-0.449584961
6,2,video0006_frame0002_R128x128.png,2011,2011,12.84796143,12.84796143,14.36956787,14.36956787,-1.521606445,-1.521606445
6,3,video0006_frame0003_R128x128.png,4617,4617,27.2980957,27.2980957,12.60516357,12.60516357,14.69293213,14.69293213
6,4,video0006_frame0004_R128x128.png,5096,5096,31.20281982,31.20281982,11.96044922,11.96044922,19.24237061,19.24237061
6,5,video0006_frame0005_R128x128.png,2257,2257,14.0491333,14.0491333,14.78326416,14.78326416,-0.734130859,-0.734130859
6,6,video0006_frame0006_R128x128.png,4247,4247,28.74981689,28.74981689,15.23022461,15.23022461,13.51959229,13.51959229
6,7,video0006_frame0007_R128x128.png,3283,4449,18.57269287,29.44818115,16.71673584,14.10131836,1.855957031,15.34686279
6,8,video0006_frame0008_R128x128.png,3344,4428,18.06970215,28.5725708,16.37280273,12.76538086,1.696899414,15.80718994
6,9,video0006_frame0009_R128x128.png,3309,2981,18.2510376,19.79199219,15.11956787,13.01287842,3.131469727,6.77911377
6,10,video0006_frame0010_R128x128.png,2470,3698,12.45928955,23.43835449,16.27319336,15.37878418,-3.813903809,8.059570313
6,11,video0006_frame0011_R128x128.png,3237,4221,16.39862061,26.91595459,19.07037354,14.68084717,-2.67175293,12.23510742
6,12,video0006_frame0012_R128x128.png,3429,8941,16.6986084,52.85266113,17.56365967,10.01568604,-0.86505127,42.8369751
7,1,video0007_frame0001_R128x128.png,548,548,-4.519714355,-4.519714355,15.2878418,15.2878418,-19.80755615,-19.80755615
7,2,video0007_frame0002_R128x128.png,251,251,-6.476135254,-6.476135254,16.6930542,16.6930542,-23.16918945,-23.16918945
7,3,video0007_frame0003_R128x128.png,475,475,-6.010253906,-6.010253906,14.79321289,14.79321289,-20.8034668,-20.8034668
7,4,video0007_frame0004_R128x128.png,515,515,-3.603393555,-3.603393555,19.07202148,19.07202148,-22.67541504,-22.67541504
7,5,video0007_frame0005_R128x128.png,479,479,-3.323852539,-3.323852539,15.57373047,15.57373047,-18.89758301,-18.89758301
7,6,video0007_frame0006_R128x128.png,242,242,-3.647949219,-3.647949219,17.56164551,17.56164551,-21.20959473,-21.20959473
7,7,video0007_frame0007_R128x128.png,501,247,-3.366638184,-8.030273438,18.75384521,22.94262695,-22.1204834,-30.97290039
7,8,video0007_frame0008_R128x128.png,282,461,-5.403564453,-3.088684082,21.6305542,23.08105469,-27.03411865,-26.16973877
7,9,video0007_frame0009_R128x128.png,481,583,-4.350524902,0.615905762,20.2711792,16.08929443,-24.6217041,-15.47338867
