"name","max exg","mean exg","min exg","max exr","mean exr","min exr","max exgr","mean exgr","min exgr","Gen","area","Frame"
"video0016_frame0003_R128x128.png","116","60.927124023438","-25","100","2.749267578125","0","116","58.177856445312","-101","16","13888","11"
"video0016_frame0004_R128x128.png","97","52.250915527344","-18","95","3.202392578125","0","97","49.048522949219","-106","16","13847","12"
"video0016_frame0005_R128x128.png","133","74.481140136719","-17","100","1.1415405273438","0","133","73.339599609375","-97","16","13763","13"
"video0016_frame0006_R128x128.png","106","57.680786132812","-22","112","2.7752075195312","0","106","54.905578613281","-123","16","12782","14"
"video0016_frame0007_R128x128.png","125","55.606018066406","-41","104","1.9337768554688","0","125","53.672241210938","-103","16","14547","15"
"video0016_frame0008_R128x128.png","120","60.090393066406","-42","113","1.9010620117188","0","120","58.189331054688","-134","16","13262","16"
"video0017_frame0001_R128x128.png","27","-5.224365234375","-115","108","15.279724121094","0","27","-20.504089355469","-146","17","1","1"
"video0017_frame0002_R128x128.png","20","-10.894714355469","-60","110","17.251342773438","0","17","-28.146057128906","-120","17","0","2"
"video0017_frame0003_R128x128.png","47","-1.3068237304688","-76","107","20.745849609375","0","47","-22.052673339844","-120","17","112","3"
"video0017_frame0004_R128x128.png","64","-2.2129516601562","-81","116","16.864196777344","0","64","-19.0771484375","-128","17","545","4"
"video0017_frame0005_R128x128.png","74","4.7210693359375","-62","109","18.094848632812","0","74","-13.373779296875","-127","17","1230","5"
"video0017_frame0006_R128x128.png","84","11.356628417969","-49","111","15.912231445312","0","84","-4.5556030273438","-124","17","3380","6"
"video0017_frame0007_R128x128.png","81","18.405151367188","-45","110","13.665100097656","0","81","4.7400512695312","-118","17","5716","7"
"video0017_frame0008_R128x128.png","88","29.522888183594","-24","104","8.631591796875","0","88","20.891296386719","-110","17","9902","8"
"video0018_frame0001_R128x128.png","83","35.9384765625","-28","109","5.2947998046875","0","83","30.643676757812","-136","18","11689","9"
"video0018_frame0002_R128x128.png","93","45.677062988281","-12","103","3.3917846679688","0","93","42.285278320312","-104","18","13024","10"
"video0018_frame0003_R128x128.png","104","52.369689941406","-36","94","1.5974731445312","0","104","50.772216796875","-130","18","14110","11"
"video0018_frame0004_R128x128.png","109","60.405944824219","-24","93","2.4511108398438","0","109","57.954833984375","-101","18","13561","12"
"video0018_frame0005_R128x128.png","121","71.915161132812","-9","113","1.4412841796875","0","121","70.473876953125","-106","18","14043","13"
"video0018_frame0006_R128x128.png","97","55.624145507812","-46","116","1.6185302734375","0","97","54.005615234375","-120","18","13104","14"
"video0018_frame0007_R128x128.png","160","58.225341796875","-30","113","2.7463989257812","0","160","55.478942871094","-114","18","11601","15"
"video0018_frame0008_R128x128.png","124","68.614318847656","-13","106","0.48773193359375","0","124","68.126586914062","-119","18","10678","16"
"video0019_frame0001_R128x128.png","25","-3.240234375","-83","107","15.354614257812","0","22","-18.594848632812","-128","19","0","1"
"video0019_frame0002_R128x128.png","20","-5.6861572265625","-46","113","18.378601074219","0","20","-24.064758300781","-114","19","0","2"
"video0019_frame0003_R128x128.png","54","-1.4586181640625","-25","97","19.963317871094","0","54","-21.421936035156","-114","19","140","3"
"video0019_frame0004_R128x128.png","68","1.7239379882812","-47","112","17.692749023438","0","68","-15.968811035156","-131","19","683","4"
"video0019_frame0005_R128x128.png","67","5.1996459960938","-34","113","17.887573242188","0","67","-12.687927246094","-128","19","1164","5"
"video0019_frame0006_R128x128.png","75","13.39990234375","-33","104","16.118774414062","0","75","-2.7188720703125","-126","19","3549","6"
"video0019_frame0007_R128x128.png","80","19.791564941406","-35","113","14.510986328125","0","80","5.2805786132812","-128","19","5804","7"
"video0019_frame0008_R128x128.png","82","30.558410644531","-28","114","9.4109497070312","0","82","21.1474609375","-127","19","10081","8"
"video0020_frame0001_R128x128.png","84","42.961181640625","-22","91","2.885498046875","0","84","40.07568359375","-105","20","14077","9"
"video0020_frame0002_R128x128.png","105","57.280578613281","-19","106","4.3948974609375","0","105","52.885681152344","-107","20","13275","10"
"video0020_frame0003_R128x128.png","116","60.863464355469","-11","92","2.4879760742188","0","116","58.37548828125","-99","20","13096","11"
"video0020_frame0004_R128x128.png","125","72.944396972656","-24","98","2.2639770507812","0","125","70.680419921875","-122","20","13669","12"
"video0020_frame0005_R128x128.png","133","81.79345703125","-4","128","0.73095703125","0","133","81.0625","-118","20","10836","13"
"video0020_frame0006_R128x128.png","116","70.003173828125","-13","109","1.4575805664062","0","116","68.545593261719","-119","20","13376","14"
"video0020_frame0007_R128x128.png","126","56.083618164062","-7","108","2.1504516601562","0","126","53.933166503906","-112","20","12361","15"
"video0020_frame0008_R128x128.png","111","56.187561035156","-34","115","0.79425048828125","0","111","55.393310546875","-148","20","10905","16"
