"name","area pred","max exg pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr pred","mean exgr pred","min exgr pred","Gen ","Frame","","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt","area gt"
"video0011_frame0005_R128x128.png","782","72","4.7936401367188","-25","110","19.062438964844","0","72","-14.268798828125","-122","11","5","","82","1.2501831054688","-28","112","18.301513671875","0","82","-17.051330566406","-130","739"
"video0011_frame0006_R128x128.png","2555","70","7.77880859375","-31","111","16.400329589844","0","70","-8.6215209960938","-126","11","6","","72","2.3029174804688","-35","112","16.214904785156","0","72","-13.911987304688","-125","2160"
"video0011_frame0007_R128x128.png","4309","69","15.700927734375","-28","108","14.333190917969","0","69","1.3677368164062","-124","11","7","","70","10.62060546875","-26","108","14.314270019531","0","70","-3.6936645507812","-124","3717"
"video0011_frame0008_R128x128.png","7695","76","22.387390136719","-33","116","10.557495117188","0","76","11.829895019531","-135","11","8","","74","18.137084960938","-27","107","10.629760742188","0","74","7.50732421875","-112","6947"
"video0012_frame0001_R128x128.png","10134","76","29.879699707031","-32","95","6.16259765625","0","76","23.717102050781","-118","12","9","","76","29.879699707031","-32","95","6.16259765625","0","76","23.717102050781","-118","10134"
"video0012_frame0002_R128x128.png","11439","85","40.117797851562","-26","104","5.5037841796875","0","85","34.614013671875","-103","12","10","","85","40.117797851562","-26","104","5.5037841796875","0","85","34.614013671875","-103","11439"
"video0012_frame0003_R128x128.png","13331","94","48.336608886719","-30","91","3.3871459960938","0","94","44.949462890625","-98","12","11","","94","48.336608886719","-30","91","3.3871459960938","0","94","44.949462890625","-98","13331"
"video0012_frame0004_R128x128.png","12233","96","45.341369628906","-24","107","6.4913940429688","0","96","38.849975585938","-119","12","12","","96","45.341369628906","-24","107","6.4913940429688","0","96","38.849975585938","-119","12233"
"video0012_frame0005_R128x128.png","13285","113","53.140808105469","-41","105","3.851318359375","0","113","49.289489746094","-127","12","13","","111","60.464294433594","-17","96","2.150634765625","0","111","58.313659667969","-93","13820"
"video0012_frame0006_R128x128.png","14462","92","48.706481933594","-24","70","1.4048461914062","0","92","47.301635742188","-86","12","14","","110","56.38427734375","-40","82","0.98468017578125","0","110","55.399597167969","-103","14702"
"video0012_frame0007_R128x128.png","14033","93","47.03662109375","-19","99","3.74072265625","0","93","43.2958984375","-86","12","15","","184","60.229553222656","-27","121","3.5045166015625","0","184","56.725036621094","-119","14437"
"video0012_frame0008_R128x128.png","13013","111","49.641418457031","-34","99","5.3880615234375","0","111","44.253356933594","-126","12","16","","111","54.887878417969","-31","97","4.1080932617188","0","111","50.77978515625","-117","13397"
