"name","area pred","max exg pred","mean exg pred","min exg pred","max exr pred","mean exr pred","min exr pred","max exgr pred","mean exgr pred","min exgr pred","Gen","Frame","","area gt","max exg gt","mean exg gt","min exg gt","max exr gt","mean exr gt","min exr gt","max exgr gt","mean exgr gt","min exgr gt"
"video0005_frame0008_R128x128.png","8676","67","24.995483398438","-21","111","8.8779907226562","0","67","16.117492675781","-126","5","8","","9005","78","24.765991210938","-23","110","9.5145874023438","0","78","15.251403808594","-133"
"video0006_frame0001_R128x128.png","11062","77","32.618286132812","-29","91","5.0740966796875","0","77","27.544189453125","-116","6","9","","11062","77","32.618286132812","-29","91","5.0740966796875","0","77","27.544189453125","-116"
"video0006_frame0002_R128x128.png","12418","84","44.060485839844","-21","96","6.9403686523438","0","84","37.1201171875","-113","6","10","","12418","84","44.060485839844","-21","96","6.9403686523438","0","84","37.1201171875","-113"
"video0006_frame0003_R128x128.png","14450","102","54.7548828125","-33","88","2.31884765625","0","102","52.43603515625","-94","6","11","","14450","102","54.7548828125","-33","88","2.31884765625","0","102","52.43603515625","-94"
"video0006_frame0004_R128x128.png","14035","93","54.156860351562","-32","84","1.7393188476562","0","93","52.417541503906","-96","6","12","","14035","93","54.156860351562","-32","84","1.7393188476562","0","93","52.417541503906","-96"
"video0006_frame0005_R128x128.png","14007","92","46.850463867188","-23","107","4.044921875","0","92","42.805541992188","-125","6","13","","14069","112","59.304260253906","-28","105","3.2775268554688","0","112","56.026733398438","-124"
"video0006_frame0006_R128x128.png","14086","76","41.075317382812","-26","112","3.2943115234375","0","76","37.781005859375","-112","6","14","","14144","102","49.929077148438","-25","104","3.000732421875","0","102","46.928344726562","-113"
"video0006_frame0007_R128x128.png","13777","110","57.016052246094","-24","122","4.4628295898438","0","110","52.55322265625","-122","6","15","","14487","108","57.099426269531","-44","130","3.3240966796875","0","108","53.775329589844","-164"
"video0006_frame0008_R128x128.png","12882","80","37.5888671875","-22","99","3.6909790039062","0","80","33.897888183594","-107","6","16","","14074","82","44.133850097656","-39","112","2.426025390625","0","82","41.707824707031","-135"
"video0007_frame0001_R128x128.png","0","18","-0.2186279296875","-79","107","12.92431640625","0","12","-13.142944335938","-117","7","1","","0","18","-0.2186279296875","-79","107","12.92431640625","0","12","-13.142944335938","-117"
