name,area,max exg,mean exg,min exg,max exr,mean exr,min exr,max exgr,mean exgr,min exgr,Gen,Frame
video0006_frame0011_R128x128.png,3237,170,16.3986206054688,-85,80,19.0703735351563,0,170,-2.6717529296875,-161,6,11
video0006_frame0012_R128x128.png,3429,162,16.6986083984375,-63,91,17.5636596679688,0,162,-0.86505126953125,-137,6,12
video0007_frame0001_R128x128.png,548,134,-4.51971435546875,-95,81,15.287841796875,0,134,-19.8075561523438,-157,7,1
video0007_frame0002_R128x128.png,251,120,-6.47613525390625,-87,92,16.6930541992188,0,120,-23.169189453125,-161,7,2
video0007_frame0003_R128x128.png,475,113,-6.01025390625,-93,83,14.793212890625,0,113,-20.803466796875,-156,7,3
video0007_frame0004_R128x128.png,515,144,-3.6033935546875,-84,79,19.072021484375,0,144,-22.6754150390625,-152,7,4
video0007_frame0005_R128x128.png,479,137,-3.3238525390625,-86,82,15.57373046875,0,137,-18.8975830078125,-133,7,5
video0007_frame0006_R128x128.png,242,139,-3.64794921875,-75,100,17.5616455078125,0,139,-21.2095947265625,-146,7,6
video0007_frame0007_R128x128.png,501,116,-3.36663818359375,-81,95,18.7538452148437,0,116,-22.1204833984375,-144,7,7
video0007_frame0008_R128x128.png,282,104,-5.403564453125,-64,85,21.6305541992187,0,104,-27.0341186523437,-126,7,8
video0007_frame0009_R128x128.png,481,147,-4.35052490234375,-72,91,20.2711791992188,0,147,-24.6217041015625,-127,7,9
video0007_frame0010_R128x128.png,369,120,-2.4580078125,-66,81,21.3792724609375,0,120,-23.8372802734375,-126,7,10
video0007_frame0011_R128x128.png,282,116,-5.69903564453125,-64,83,16.2291259765625,0,116,-21.9281616210937,-135,7,11
video0007_frame0012_R128x128.png,431,140,-6.4754638671875,-90,86,19.283203125,0,140,-25.7586669921875,-165,7,12
video0008_frame0001_R128x128.png,370,135,-5.8463134765625,-80,86,16.7919311523438,0,135,-22.6382446289062,-127,8,1
video0008_frame0002_R128x128.png,458,152,-0.0069580078125,-73,92,14.6012573242188,0,152,-14.6082153320312,-156,8,2
video0008_frame0003_R128x128.png,821,152,3.143798828125,-76,85,14.58349609375,0,152,-11.439697265625,-139,8,3
video0008_frame0004_R128x128.png,677,148,-0.32159423828125,-75,84,17.239990234375,0,148,-17.5615844726563,-134,8,4
video0008_frame0005_R128x128.png,1014,185,3.14617919921875,-97,75,19.1480102539062,0,185,-16.0018310546875,-145,8,5
video0008_frame0006_R128x128.png,1370,158,7.80133056640625,-73,86,17.2185668945313,0,158,-9.417236328125,-158,8,6
video0008_frame0007_R128x128.png,1238,164,3.76263427734375,-73,95,18.28662109375,0,164,-14.5239868164062,-129,8,7
video0008_frame0008_R128x128.png,725,155,-1.82177734375,-77,94,18.3416137695313,0,155,-20.1633911132812,-129,8,8
